ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,Longitude,Latitude,Type
1,Saint-Léonard,Delorme,Bocce,rue Loranger/rue Péguy,,,,orthophotographies,297819.89,5050237.94,-73.58946238,45.59201175,fontaine
2,Saint-Léonard,Delorme,Pavillon,rue Loranger/rue Péguy,,,,orthophotographies,297773.67,5050257.68,-73.59005505,45.59218891,fontaine
3,Saint-Léonard,Delorme,Pavillon,rue Loranger/rue Péguy,,,,orthophotographies,297774.77,5050256.8,-73.59004094,45.59218101,fontaine
4,Saint-Léonard,Delorme,montagne,rue Loranger/rue Péguy,,,,orthophotographies,297855.21,5050101.09,-73.58900774,45.59078069,fontaine
5,Saint-Léonard,Delorme,Basketball et soccer,entrée boulevard Robert,,,,orthophotographies,297654.59,5050300.62,-73.5915819,45.59257409,fontaine
6,Saint-Léonard,Ferland,Pavillon,rue Belcourt /boulevard Lavoisier,,,,orthophotographies,297118.07,5050704,-73.59846475,45.59619809,fontaine
7,Saint-Léonard,Ferland,Piscine,rue Belcourt /boulevard Lavoisier,,,accès restreint,orthophotographies,297138.85,5050685.88,-73.59819812,45.59603527,fontaine
8,Saint-Léonard,Pie-XII,Bocce,rue Jean-Marie Lefebvre/boul. Lavoisier,,,,orthophotographies,296529.51,5050026.57,-73.60599726,45.59009564,fontaine
9,Saint-Léonard,Pie-XII,Basketball,rue Dujarié/rue Le Corbusier,,,,orthophotographies,296526.98,5049953.5,-73.60602844,45.58943811,fontaine
10,Saint-Léonard,Pie-XII,Piscine,rue Dujarié/rue de Nevers,,,accès restreint,orthophotographies,296464.97,5049913.19,-73.60682248,45.58907464,fontaine
11,Saint-Léonard,Pie-XII,Piscine,rue Dujarié/rue de Nevers,,,accès restreint,orthophotographies,296464.26,5049912.13,-73.60683157,45.5890651,fontaine
12,Saint-Léonard,Coubertin,Pavillon,rue Valéry/rue Narbonne,,,,orthophotographies,296215.93,5049339.91,-73.61000412,45.58391308,fontaine
13,Saint-Léonard,Coubertin,Pavillon,rue Valéry/rue Narbonne,,,,orthophotographies,296215.93,5049338.32,-73.61000409,45.58389877,fontaine
14,Saint-Léonard,Luigi-Pirandello,Bocce,rue Jean-Rivard/rue de Nice,,,,orthophotographies,296717.63,5048690.13,-73.60356414,45.57807218,fontaine
15,Saint-Léonard,Hébert (Stade),Baseball,rue Colbert/boul. Métropolitain Est,,,,orthophotographies,297450.41,5048206.42,-73.59416734,45.57372774,fontaine
16,Saint-Léonard,Hébert (Stade),Soccer,rue de Viterbe/rue de Viterbe,,,,orthophotographies,297595.18,5048152.18,-73.59231166,45.57324118,fontaine
17,Saint-Léonard,Hébert (Stade),Pavillon,rue Colbert/boul. Provencher,,,,orthophotographies,297620.82,5048037.96,-73.59198147,45.57221366,fontaine
18,Saint-Léonard,Hébert (Stade),Stade (l'entrée sous-sol),rue Colbert/boul. Métropolitain Est,,,,orthophotographies,297518.57,5048198.03,-73.59329391,45.57365296,fontaine
19,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297589.11,5048062.64,-73.59238811,45.57243541,fontaine
20,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297587.9,5048061.19,-73.59240359,45.57242235,fontaine
21,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297575.68,5048086.1,-73.59256053,45.57264637,fontaine
22,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297577.76,5048084.96,-73.59253386,45.57263614,fontaine
23,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297579.26,5048083.81,-73.59251463,45.5726258,fontaine
24,Saint-Léonard,Hébert (Parc),Piscine,rue Colbert/boul. Provencher,,,accès restreint,orthophotographies,297581.13,5048082.8,-73.59249065,45.57261674,fontaine
25,Saint-Léonard,Hébert (Parc),Carré de sable,rue Colbert/boul. Provencher,,,,orthophotographies,297575.08,5048019.23,-73.59256723,45.57204465,fontaine
26,Saint-Léonard,Ladauversière,Bocce,rue de Meudon/boul. Lacordaire,,,,orthophotographies,298274.39,5049047.39,-73.58362126,45.58130326,fontaine
27,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298309.22,5049078.31,-73.58317535,45.58158181,fontaine
28,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298350.2,5049103.86,-73.58265055,45.5818121,fontaine
29,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298358.77,5049108.4,-73.58254079,45.58185303,fontaine
30,Saint-Léonard,Ladauversière,Piscine,rue de Meudon/boul. Lacordaire,,,accès restreint,orthophotographies,298312.39,5049071.44,-73.58313463,45.58152002,fontaine
31,Saint-Léonard,Ladauversière,Baseball,rue Jean-Talon Est/rue de Pontoise,,,,orthophotographies,298489.01,5049176.95,-73.58087273,45.58247105,fontaine
32,Saint-Léonard,Giuseppe-Garibaldi,Piscine,rue de Côme/rue La Dauversière,,,accès restreint,orthophotographies,299177.5,5049649.24,-73.57205545,45.58672676,fontaine
33,Saint-Léonard,Giuseppe-Garibaldi,Pavillon,rue de Côme/rue La Dauversière,,,,orthophotographies,299163.16,5049603.25,-73.5722387,45.58631282,fontaine
34,Saint-Léonard,Giuseppe-Garibaldi,Pavillon,rue de Côme/rue La Dauversière,,,,orthophotographies,299160.52,5049604.25,-73.57227254,45.58632179,fontaine
35,Saint-Léonard,Giuseppe-Garibaldi,Baseball,rue Liénard/rue La Dauversière,,,,orthophotographies,299039.32,5049611.05,-73.57382586,45.58638199,fontaine
36,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297412.2,5049561.24,-73.59467739,45.58591841,fontaine
37,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297418.27,5049552.31,-73.59459947,45.58583812,fontaine
38,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297425.29,5049566.73,-73.59450972,45.58596794,fontaine
39,Saint-Léonard,Saint-Léonard,Pavillon de la scène,boul. Lacordaire/rue des Galets,,,,orthophotographies,297428.27,5049557.43,-73.59447139,45.58588429,fontaine
40,Saint-Léonard,aréna Martin-Brodeur,Soccer,rue des Galets/rue de l'Aunis,,,,orthophotographies,297119.5,5049569.42,-73.59842858,45.58598884,fontaine
41,Saint-Léonard,aréna Martin-Brodeur,Aréna,rue des Galets/rue de l'Aunis,,,,orthophotographies,297102.72,5049449.89,-73.59864173,45.58491309,fontaine
42,Saint-Léonard,aréna Martin-Brodeur,Aréna,rue des Galets/rue de l'Aunis,,,,orthophotographies,297107.02,5049453.19,-73.59858668,45.58494283,fontaine
43,Ahuntsic-Cartierville,Prieur,Jardins communautaires,rue Sackville/rue Prieur Est,,,accès restreint,orthophotographies,293151.73,5048680.08,-73.64925573,45.57793119,fontaine
44,Ahuntsic-Cartierville,,Jardins communautaires,rue Frémont/avenue De Chateaubriand,,,accès restreint,orthophotographies,292953.69,5045875.79,-73.65172538,45.552694,fontaine
45,Ahuntsic-Cartierville,,Jardins communautaires,rue Deschamps/rue Letellier,,,accès restreint,orthophotographies,289589.09,5044953.59,-73.69478967,45.5443304,fontaine
46,Ahuntsic-Cartierville,,Jardins communautaires,rue Deschamps/rue Letellier,,,accès restreint,orthophotographies,289590.59,5044960.86,-73.69477069,45.54439585,fontaine
47,Ahuntsic-Cartierville,du Petit-Bois-Franc,Jardins communautaires,rue Dudemaine/rue Grenet,,,accès restreint,orthophotographies,288688.91,5042752.27,-73.70624481,45.52450197,fontaine
48,Ahuntsic-Cartierville,Ahuntsic (près de),Jardins communautaires,avenue Durham/boul. Henri-Bourassa Est,,,accès restreint,orthophotographies,291837.96,5046357.6,-73.66602815,45.5570096,fontaine
49,Ahuntsic-Cartierville,Marcelin-Wilson,Jardins communautaires,avenue Marcelin-Wilson/rue Defoy,,,accès restreint,orthophotographies,290512.32,5044177.23,-73.68294427,45.53736401,fontaine
50,Ahuntsic-Cartierville,Saint-Sulpice (JC),Jardins communautaires,ave Émile-Journault/ave André-Grasset,,,accès restreint,orthophotographies,294235.31,5046379.95,-73.63532156,45.55725122,fontaine
51,Ahuntsic-Cartierville,Saint-Sulpice (JC),Jardins communautaires,ave Émile-Journault/ave André-Grasset,,,accès restreint,orthophotographies,294184.58,5046303.11,-73.63596968,45.55655902,fontaine
52,Ahuntsic-Cartierville,Du Sault-au-Récollets (JC),Jardins communautaires,rue du Pressoir (tourne-bride)/boul. Gouin Est,,,accès restreint,orthophotographies,292333.66,5048494.82,-73.65973335,45.57624999,fontaine
53,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,,orthophotographies,291787.23,5046257.8,-73.66667528,45.55611063,fontaine
54,Ahuntsic-Cartierville,Avila-Vidal,Modules pour enfants,rue Filion/rue de la Paix,,,,orthophotographies,289515.25,5043300.34,-73.69568365,45.5294523,fontaine
55,Ahuntsic-Cartierville,De Beauséjour,,boul. Gouin Ouest/rue Henri-D'Arles,,,,orthophotographies,286655.11,5043216.86,-73.73229734,45.52863253,fontaine
56,Ahuntsic-Cartierville,Du Cardinal-Paul-Émile-Léger,,rue Chabanel Est/ave De Galinée,,,,orthophotographies,293685.77,5046588.35,-73.64236525,45.55911791,fontaine
57,Ahuntsic-Cartierville,Du Boisé-De-Saint-Sulpice,,ave Olivier-Maurault/rue Legendre Est,,,,orthophotographies,293771.51,5046057.51,-73.64125502,45.55434261,fontaine
58,Ahuntsic-Cartierville,De Bordeaux,,rue Viel/boul. de l'Acadie,,,,orthophotographies,289197.05,5044677.87,-73.69980128,45.54184071,fontaine
59,Ahuntsic-Cartierville,Roland-Giguère,,Place de l'Acadie (tourne-bride),,,,orthophotographies,290685.06,5043602.12,-73.68071588,45.5321925,fontaine
60,Ahuntsic-Cartierville,D'Auteuil,Baseball,rue Saint-Denis/rue Sauvé Est,,,,orthophotographies,292630.73,5045446.11,-73.65585109,45.54882203,fontaine
61,Ahuntsic-Cartierville,D'Auteuil,Pavillon,rue Saint-Denis/rue Sauvé Est,,,,orthophotographies,292562.6,5045548.7,-73.65672619,45.54974398,fontaine
62,Ahuntsic-Cartierville,D'Auteuil,,rue Saint-Denis/rue Sauvé Est,,,,orthophotographies,292510,5045500.53,-73.65739863,45.5493096,fontaine
63,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,,orthophotographies,292107.24,5046329.48,-73.66257828,45.55676153,fontaine
64,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,,orthophotographies,292107.24,5046329.48,-73.66257828,45.55676153,fontaine
65,Ahuntsic-Cartierville,De la Merci,,boul. Gouin Est/rue Poincaré,,,,orthophotographies,289403.22,5045174.2,-73.69717683,45.54631143,fontaine
66,Ahuntsic-Cartierville,De Mésy,,rue Legault/rue Grenet,,,,orthophotographies,287819.83,5043362.35,-73.71739133,45.52997105,fontaine
67,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293882.41,5048443.23,-73.63988786,45.57581179,fontaine
68,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293830.99,5048325.81,-73.64054407,45.5747544,fontaine
69,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293743.44,5048479.59,-73.64166931,45.57613678,fontaine
70,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,,orthophotographies,293469.35,5048691.27,-73.64518616,45.57803712,fontaine
71,Ahuntsic-Cartierville,Gabriel-Lalemant,,rue de Lille/rue Sauvé Est,,,,orthophotographies,293648.93,5047932.46,-73.6428678,45.57121203,fontaine
72,Ahuntsic-Cartierville,Gabreil-Lalemand,,rue Sauvé Est/rue de Lille,,,,orthophotographies,293655.1,5047941.81,-73.64278896,45.57129627,fontaine
73,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293660.36,5047951.68,-73.64272179,45.57138516,fontaine
74,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293129.31,5045314.83,-73.6494627,45.54764927,fontaine
75,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293130.87,5045310.16,-73.64944261,45.54760727,fontaine
76,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293109.09,5045210.14,-73.64971914,45.54670689,fontaine
77,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293017.24,5045327.11,-73.65089823,45.54775788,fontaine
78,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293019.18,5045330.78,-73.65087347,45.54779093,fontaine
79,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293013.12,5045351.45,-73.65095158,45.54797683,fontaine
80,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,293204.3,5045290.96,-73.64850176,45.54743573,fontaine
81,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,292811.77,5045387.69,-73.6535311,45.54829949,fontaine
82,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,,orthophotographies,292940.52,5045395.48,-73.65188241,45.54837179,fontaine
83,Ahuntsic-Cartierville,J.-J.-Gagnier,,rue J.-J.-Gagnier/rue Prieur Est,,,,orthophotographies,293186.26,5048936.75,-73.64881938,45.58024135,fontaine
84,Ahuntsic-Cartierville,Jean-Matucci,,ave. André-Grasset/ave. Émile-Journault,,,,orthophotographies,294303.18,5046270.61,-73.63444988,45.55626837,fontaine
85,Ahuntsic-Cartierville,Jean-Matucci,,ave. André-Grasset/ave. Émile-Journault,,,,orthophotographies,294309.65,5046247.87,-73.63436652,45.55606384,fontaine
86,Ahuntsic-Cartierville,Jeanne-Sauvé (parc du pont Ahuntsic),,rue Basile-Routhier/ave. Parc Stanley,,,,orthophotographies,291311.43,5046366,-73.67277257,45.55707519,fontaine
87,Ahuntsic-Cartierville,Lefebvre,,rue Cousineau/rue Laurin,,,,orthophotographies,287416.23,5043075.41,-73.72254827,45.52737912,fontaine
88,Ahuntsic-Cartierville,Lomer-Gouin,,rue De Saint-Firmin/boul. Gouin Est,,,,orthophotographies,292400.48,5048161.69,-73.65886873,45.57325359,fontaine
89,Ahuntsic-Cartierville,De Louisbourg,,rue De Louisbourg/rue De Meulles,,,,orthophotographies,288649.87,5043302.87,-73.70676272,45.52945555,fontaine
90,Ahuntsic-Cartierville,De Louisbourg,,rue De Louisbourg/rue De Meulles,,,,orthophotographies,288616.64,5043185.73,-73.70718428,45.52840072,fontaine
91,Ahuntsic-Cartierville,De Louisbourg,,rue De Louisbourg/rue De Meulles,,,,orthophotographies,288600.47,5043243.34,-73.7073932,45.52891874,fontaine
92,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290331.33,5044135.17,-73.68526047,45.5369818,fontaine
93,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290350.95,5044125.36,-73.68500896,45.53689394,fontaine
94,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290367.11,5044112.67,-73.68480167,45.53678008,fontaine
95,Ahuntsic-Cartierville,Marcelin-Wilson,,boul. de l'Acadie/rue Dudemaine,,,,orthophotographies,290391.92,5044097.09,-73.68448354,45.5366404,fontaine
96,Ahuntsic-Cartierville,Maurice-Richard,,ave. Park Stanley/rue Basile-Routhier,,,,orthophotographies,291256,5046411.88,-73.67348383,45.55748695,fontaine
97,Ahuntsic-Cartierville,Nicolas-Viel,,boul. Gouin Ouest/rue Saint-Urbain,,,,orthophotographies,290964.72,5045655.96,-73.67719341,45.55067923,fontaine
98,Ahuntsic-Cartierville,Nicolas-Viel,,boul. Gouin Ouest/rue Saint-Urbain,,,,orthophotographies,290966.02,5045661.89,-73.67717693,45.55073261,fontaine
99,Ahuntsic-Cartierville,Olympia/Gouin,,boul. Gouin Est/boul. Olympia,,,,orthophotographies,291996.46,5047112.49,-73.66401773,45.56380526,fontaine
